iter	Logloss
0	0.6163555572
1	0.5900109948
2	0.5790718163
3	0.5744852744
4	0.5710138603
5	0.5671582681
6	0.5665010292
7	0.5644477445
8	0.562999244
9	0.5623458792
10	0.5611486627
11	0.5608815708
12	0.5604607368
13	0.5600860084
14	0.5593891453
15	0.559038167
16	0.5586870638
17	0.5582314911
18	0.5577431026
19	0.557359068
20	0.5569214292
21	0.5563869136
22	0.5556043665
23	0.5550654041
24	0.5545461195
25	0.5540595534
26	0.5534729603
27	0.5527961232
28	0.5523538415
29	0.5518784817
30	0.5513696568
31	0.5508403683
32	0.5500887376
33	0.5496915992
34	0.5490811241
35	0.5484760444
36	0.5480955813
37	0.5476135675
38	0.5470439387
39	0.5467261029
40	0.5461967793
41	0.5458840631
42	0.5454084691
43	0.545015383
44	0.5444063079
45	0.5437890646
46	0.5434657597
47	0.5429050195
48	0.5425259022
49	0.5421360982
