iter	Passed	Remaining
0	53	2622
1	60	1446
2	66	1046
3	73	842
4	79	718
5	86	634
6	92	569
7	99	524
8	106	486
9	113	453
10	119	424
11	126	401
12	133	379
13	140	360
14	147	343
15	154	327
16	160	312
17	167	298
18	174	285
19	182	273
20	188	260
21	195	249
22	203	238
23	210	228
24	217	217
25	225	207
26	232	197
27	239	188
28	246	178
29	253	169
30	260	159
31	268	151
32	276	142
33	283	133
34	290	124
35	303	117
36	310	109
37	317	100
38	324	91
39	331	82
40	338	74
41	345	65
42	353	57
43	360	49
44	367	40
45	374	32
46	381	24
47	388	16
48	396	8
49	403	0
